BreedName,AvgWeight(pounds),SizeScore(1to5),Intelligent,Friendliness,AvgAge
Miniature Schnauzer,16,2,4.5,3.4,13
Neapolitan Mastiff,155,5,3.0,2.4,9
Newfoundland,125,5,3.0,4.4,9
Norfolk Terrier,12,1,1.0,3.8,14
Norwegian Buhund,35,3,4.0,3.4,14
Norwegian Elkhound,52,3,3.0,3.6,11
Norwich Terrier,12,1,3.0,3.8,14
Nova Scotia Duck Tolling Retriever,43,3,5.0,4.2,13
Old English Sheepdog,80,4,2.0,4.0,11
Otterhound,98,5,1.0,3.8,12
Papillon,8,1,5.0,4.2,15
Parson Russell Terrier,15,2,5.0,3.8,14
Pekingese,12,1,2.0,3.0,16
Pembroke Welsh Corgi,28,2,4.0,3.8,13
Peruvian Inca Orchid,22,2,4.0,2.8,12
Pharaoh Hound,50,4,3.0,2.2,13
Plott Hound,53,4,4.0,2.8,13
Polish Owczarek Nizinny,43,3,2.0,3.4,14
Pomeranian,5,1,3.0,3.8,16
Poodle Standard,48,3,5.0,4.4,16
Poodle Toy,8,1,5.0,4.2,16
Poodle Miniature,14,2,5.0,4.2,16
Portuguese Podengo Pequeno,11,2,4.0,3.6,17
Portuguese Podengo Medio,40,3,4.0,3.6,15
Portuguese Podengo Grande,55,4,4.0,3.6,13
Portuguese Water Dog,48,3,4.0,3.6,12
Pug,16,2,2.0,4.8,13
Puli,30,3,4.5,3.4,14
Rat Terrier,24,3,3.0,3.8,17
Redbone Coonhound,60,4,3.0,3.0,13
Rhodesian Ridgeback,78,5,4.0,3.6,11
Rottweiler,100,5,4.0,2.4,9
Russell Terrier,13,2,3.0,4.2,14
Saint Bernard,155,5,2.0,4.8,9
Saluki,50,3,2.0,2.4,13
Samoyed,55,3,3.0,4.2,13
Schipperke,13,2,3.5,3.0,14
Scottish Deerhound,93,5,3.0,2.4,10
Scottish Terrier,20,2,2.0,3.0,12
Sealyham Terrier,24,2,2.0,2.2,13
Shetland Sheepdog,28,2,5.0,4.4,13
Shiba,20,2,2.0,3.0,14
Shih Tzu,13,1,2.0,4.2,14
Siberian Husky,48,3,2.0,3.8,12
Silky Terrier,9,1,3.5,3.4,14
Skye Terrier,33,2,2.0,2.4,13
Sloughi,50,4,3.0,2.8,14
Small Munsterlander,50,3,5.0,4.6,13
Smooth Fox Terrier,16,2,4.0,3.0,13
Soft Coated Wheaten Terrier,35,2,3.0,4.4,14
South African Boerboel,165,5,3.0,2.6,11
Spanish Water Dog,40,3,4.0,3.2,13
Spinone Italiano,73,4,4.0,4.6,11
Staffordshire Bull Terrier,31,2,2.0,4.0,13
Standard Schnauzer,40,3,4.0,3.0,14
Sussex Spaniel,40,3,2.0,4.0,13
Swedish Vallhund,28,2,4.0,3.8,13
Teddy Roosevelt Terrier,15,2,4.0,3.4,14
Tibetan Mastiff,113,5,3.5,3.0,12
Tibetan Spaniel,12,1,3.0,4.0,14
Tibetan Terrier,22,2,1.0,4.2,14
Toy Fox Terrier,6,1,4.5,3.6,14
Treeing Cur,43,3,3.0,3.2,11
Treeing Walker Coonhound,60,4,4.0,3.0,13
Vizsla,55,4,5.0,4.6,12
Weimaraner,60,4,4.0,3.4,12
Welsh Springer Spaniel,45,3,5.0,4.2,14
Welsh Terrier,21,2,3.0,3.4,12
West Highland White Terrier,19,2,3.0,4.0,18
Whippet,30,3,3.0,3.2,14
Wire Fox Terrier,16,2,2.0,3.2,13
Wirehaired Pointing Griffon,55,4,3.0,3.8,11
Wirehaired Vizsla,55,4,5.0,4.6,12
Xoloitzcuintli Miniature,18,2,4.0,3.8,13
Xoloitzcuintli Toy,14,2,4.0,3.8,13
Xoloitzcuintli Standard,26,2,4.0,3.8,13
Yorkshire Terrier,6,1,3.0,3.6,14
